basket_id,open_time,symbol,direction,warn_depth,max_depth,ema_sep_atr,ema_slope,atr,adx,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,is_sell,profit,hit_bsl,mae,mfe,bars_alive,label_class,y_steamroller,y_mid_steamroller
1491,2025.01.02 20:22:05,EURUSD,SELL,2,5,-7.1242,0.00002,0.00035,20.92,-6.2281,4,20,4,0.6400,0.7121,50,3e-05,3.39,-0.42623,2,6.2281,9.637,1.0,-25.06,1,-25.06,1.99,357,steamroller_bsl,1,1
1491,2025.01.02 20:22:05,EURUSD,SELL,3,5,-7.1242,0.00002,0.00035,20.92,-6.2281,4,20,4,0.6400,0.7121,50,3e-05,3.39,-0.42623,2,6.2281,9.637,1.0,-25.06,1,-25.06,1.99,357,steamroller_bsl,1,1
1491,2025.01.02 20:22:05,EURUSD,SELL,4,5,-7.1242,0.00002,0.00035,20.92,-6.2281,4,20,4,0.6400,0.7121,50,3e-05,3.39,-0.42623,2,6.2281,9.637,1.0,-25.06,1,-25.06,1.99,357,steamroller_bsl,1,1
1491,2025.01.02 20:22:05,EURUSD,SELL,5,5,-7.1242,0.00002,0.00035,20.92,-6.2281,4,20,4,0.6400,0.7121,50,3e-05,3.39,-0.42623,2,6.2281,9.637,1.0,-25.06,1,-25.06,1.99,357,steamroller_bsl,1,1
1492,2025.01.06 05:17:30,EURUSD,BUY,2,5,4.2155,-0.00001,0.00013,17.64,2.8601,4,5,1,0.6200,0.6536,50,-3e-05,-3.28,-0.628571,1,2.8601,1.515,0.0,10.08,0,-1.72,10.08,33,winner,0,0
1492,2025.01.06 05:17:30,EURUSD,BUY,3,5,4.2155,-0.00001,0.00013,17.64,2.8601,4,5,1,0.6200,0.6536,50,-3e-05,-3.28,-0.628571,1,2.8601,1.515,0.0,10.08,0,-1.72,10.08,33,winner,0,0
1492,2025.01.06 05:17:30,EURUSD,BUY,4,5,4.2155,-0.00001,0.00013,17.64,2.8601,4,5,1,0.6200,0.6536,50,-3e-05,-3.28,-0.628571,1,2.8601,1.515,0.0,10.08,0,-1.72,10.08,33,winner,0,0
1492,2025.01.06 05:17:30,EURUSD,BUY,5,5,4.2155,-0.00001,0.00013,17.64,2.8601,4,5,1,0.6200,0.6536,50,-3e-05,-3.28,-0.628571,1,2.8601,1.515,0.0,10.08,0,-1.72,10.08,33,winner,0,0
1493,2025.01.06 10:25:42,EURUSD,BUY,2,4,4.1742,-0.00005,0.00046,26.79,3.0454,4,10,1,0.6400,0.7122,50,-4e-05,9.15,2.538462,2,3.0454,45.846,0.0,10.11,0,-2.86,10.11,9,winner,0,0
1493,2025.01.06 10:25:42,EURUSD,BUY,3,4,4.1742,-0.00005,0.00046,26.79,3.0454,4,10,1,0.6400,0.7122,50,-4e-05,9.15,2.538462,2,3.0454,45.846,0.0,10.11,0,-2.86,10.11,9,winner,0,0
1493,2025.01.06 10:25:42,EURUSD,BUY,4,4,4.1742,-0.00005,0.00046,26.79,3.0454,4,10,1,0.6400,0.7122,50,-4e-05,9.15,2.538462,2,3.0454,45.846,0.0,10.11,0,-2.86,10.11,9,winner,0,0
1494,2025.01.06 13:45:34,EURUSD,BUY,2,5,5.3722,-0.00003,0.00081,26.10,4.5414,4,13,1,0.6400,0.7123,50,2e-05,-0.69,0.76087,3,4.5414,10.444,0.0,10.06,0,-18.84,10.06,175,winner,0,0
1494,2025.01.06 13:45:34,EURUSD,BUY,3,5,5.3722,-0.00003,0.00081,26.10,4.5414,4,13,1,0.6400,0.7123,50,2e-05,-0.69,0.76087,3,4.5414,10.444,0.0,10.06,0,-18.84,10.06,175,winner,0,0
1494,2025.01.06 13:45:34,EURUSD,BUY,4,5,5.3722,-0.00003,0.00081,26.10,4.5414,4,13,1,0.6400,0.7123,50,2e-05,-0.69,0.76087,3,4.5414,10.444,0.0,10.06,0,-18.84,10.06,175,winner,0,0
1494,2025.01.06 13:45:34,EURUSD,BUY,5,5,5.3722,-0.00003,0.00081,26.10,4.5414,4,13,1,0.6400,0.7123,50,2e-05,-0.69,0.76087,3,4.5414,10.444,0.0,10.06,0,-18.84,10.06,175,winner,0,0
1495,2025.01.07 08:20:06,EURUSD,BUY,2,5,2.3153,-0.00004,0.00058,29.84,1.5151,4,8,2,0.6400,0.7124,50,-1e-05,3.74,-0.283951,4,1.5151,9.9588,0.0,-25.11,1,-25.11,3.05,270,steamroller_bsl,1,1
1495,2025.01.07 08:20:06,EURUSD,BUY,3,5,2.3153,-0.00004,0.00058,29.84,1.5151,4,8,2,0.6400,0.7124,50,-1e-05,3.74,-0.283951,4,1.5151,9.9588,0.0,-25.11,1,-25.11,3.05,270,steamroller_bsl,1,1
1495,2025.01.07 08:20:06,EURUSD,BUY,4,5,2.3153,-0.00004,0.00058,29.84,1.5151,4,8,2,0.6400,0.7124,50,-1e-05,3.74,-0.283951,4,1.5151,9.9588,0.0,-25.11,1,-25.11,3.05,270,steamroller_bsl,1,1
1495,2025.01.07 08:20:06,EURUSD,BUY,5,5,2.3153,-0.00004,0.00058,29.84,1.5151,4,8,2,0.6400,0.7124,50,-1e-05,3.74,-0.283951,4,1.5151,9.9588,0.0,-25.11,1,-25.11,3.05,270,steamroller_bsl,1,1
1496,2025.01.08 13:23:39,EURUSD,SELL,2,3,-3.6511,-0.00001,0.00069,18.41,-2.5044,4,13,3,0.6200,0.6539,50,3e-05,-11.43,0.189655,1,2.5044,3.3227,1.0,10.47,0,-5.88,10.47,578,winner,0,0
1496,2025.01.08 13:23:39,EURUSD,SELL,3,3,-3.6511,-0.00001,0.00069,18.41,-2.5044,4,13,3,0.6200,0.6539,50,3e-05,-11.43,0.189655,1,2.5044,3.3227,1.0,10.47,0,-5.88,10.47,578,winner,0,0
1497,2025.01.10 15:20:24,EURUSD,SELL,2,4,-2.0755,0.00005,0.00109,18.86,-1.2161,4,15,5,0.6200,0.6548,50,6e-05,0.45,0.57971,2,1.2161,8.6011,1.0,-25.11,1,-25.11,9.30,842,steamroller_bsl,1,1
1497,2025.01.10 15:20:24,EURUSD,SELL,3,4,-2.0755,0.00005,0.00109,18.86,-1.2161,4,15,5,0.6200,0.6548,50,6e-05,0.45,0.57971,2,1.2161,8.6011,1.0,-25.11,1,-25.11,9.30,842,steamroller_bsl,1,1
1497,2025.01.10 15:20:24,EURUSD,SELL,4,4,-2.0755,0.00005,0.00109,18.86,-1.2161,4,15,5,0.6200,0.6548,50,6e-05,0.45,0.57971,2,1.2161,8.6011,1.0,-25.11,1,-25.11,9.30,842,steamroller_bsl,1,1
1498,2025.01.15 15:03:34,EURUSD,BUY,2,4,1.9901,-0.00002,0.00080,16.13,0.3352,4,15,3,0.6000,0.6021,50,-7e-05,-2.73,-0.266055,1,0.3352,1.2838,0.0,10.04,0,-13.76,10.04,818,winner,0,0
1498,2025.01.15 15:03:34,EURUSD,BUY,3,4,1.9901,-0.00002,0.00080,16.13,0.3352,4,15,3,0.6000,0.6021,50,-7e-05,-2.73,-0.266055,1,0.3352,1.2838,0.0,10.04,0,-13.76,10.04,818,winner,0,0
1498,2025.01.15 15:03:34,EURUSD,BUY,4,4,1.9901,-0.00002,0.00080,16.13,0.3352,4,15,3,0.6000,0.6021,50,-7e-05,-2.73,-0.266055,1,0.3352,1.2838,0.0,10.04,0,-13.76,10.04,818,winner,0,0
