fema_tep_gate_v1
threshold	0.64975500
intercept	-0.017766136662
exported_at	2026-07-17T16:51:26Z
model_card	tep_model_card.json
feature	mean	scale	coef
ema_sep_atr	-0.052049026192	4.799693197171	0.158495464493
ema_slope	-0.000001712559	0.000054120559	-0.025660134010
atr	0.000495567495	0.000307180407	0.018541446334
adx	23.223472128946	4.539995795087	0.152815444509
dist_ema_trend_atr	-0.095801813298	3.922319220766	-0.167387829566
spread_points	3.551376762928	3.789306618080	-0.110276920648
hour	13.321020819342	5.606802452947	0.036814449626
dow	2.974479516454	1.404929970274	0.114186043400
roll_wr	0.711188985897	0.057277669090	-0.149743221143
roll_pf	1.044574210880	0.309709104866	0.268034830165
roll_n	49.143720617864	5.300458296377	0.145311819834
ema_slope_accel	0.000000040296	0.000075551243	0.039764154937
adx_accel	-0.003539288113	6.463407151029	-0.199153520326
atr_expansion_rate	0.263672848892	0.960826570094	-0.153561584124
consecutive_same_dir	3.023505708529	2.235043161022	0.111054697865
dist_ema_abs	2.958770517126	2.576711680420	-0.020868792967
impulse_score	12.382496776360	11.618752047742	0.047166799832
adx_x_atr_expand	1.376438109469	4.106965177206	0.087945338648
slope_x_consec	1.185963734050	1.742021367056	-0.006920567433
impulse_x_dist	32.067795030222	45.453561005773	-0.001810747592
is_sell	0.511081262592	0.499877190537	-0.001666217907
