fema_mid_gate_v1
threshold	0.65922300
intercept	-0.022329954505
exported_at	2026-07-19T17:21:18Z
policy	warn_only
feature	mean	scale	coef
ema_sep_atr	-0.035971931368	4.993895139166	0.424914732884
ema_slope	-0.000001643203	0.000053392242	-0.022242662847
atr	0.000465378355	0.000280186915	0.102148872405
adx	23.252050153982	4.538080108574	0.161595330727
dist_ema_trend_atr	-0.088262450506	4.103856697622	-0.391397076062
spread_points	3.653981522217	3.907495952989	-0.161699837616
hour	13.234051913770	5.729397351270	0.093030596496
dow	2.942806863176	1.411187293956	0.145977664703
roll_wr	0.711624615046	0.056248346030	-0.209042431196
roll_pf	1.046193664760	0.313442221313	0.333926912391
roll_n	49.236251649802	5.045814426928	0.130949017630
ema_slope_accel	-0.000000505939	0.000071438362	0.056985429983
adx_accel	0.056236251650	6.457325267055	-0.207564235096
atr_expansion_rate	0.230911373735	0.945064301242	-0.159981791449
consecutive_same_dir	3.016717993841	2.242587115701	0.138231032386
dist_ema_abs	3.116589771227	2.671385081314	-0.074771607194
impulse_score	12.232282358117	11.428665300560	0.080114937835
warn_depth	3.301803783546	1.094111464334	0.197500860706
is_sell	0.509018917730	0.499918652506	0.056916327761
