basket_id,open_time,symbol,direction,open_level,ema_fast,ema_trend,ema_sep,ema_sep_atr,ema_slope,atr,adx,grid_center,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,adx_x_atr_expand,slope_x_consec,impulse_x_dist,close_time,profit,exit_reason,hit_tp,hit_bsl,mae,mfe,bars_alive,max_depth,label_class,y_steamroller,y_fail
141,2018.07.17 08:53:05,EURUSD,BUY,1,1.17287,1.17183,0.00103,2.7384,0.00001,0.00038,17.37,1.17292,1.8951,1,8,2,0.7400,1.1352,50,1e-05,-9.11,0.117647,2,1.8951,2.7502,0.0,0.2,5.212,2018.07.18 06:13:35,-25.02,BASKET_SL,0,1,-25.02,1.90,256,3,steamroller_bsl,1,1
142,2018.07.18 10:22:43,EURUSD,SELL,1,1.16223,1.16368,-0.00145,-2.6797,0.00001,0.00054,19.61,1.16218,-1.7200,1,10,3,0.7200,1.0262,50,0.0,2.24,0.421053,1,1.72,9.6205,0.943158,0.0,16.5473,2018.07.19 08:10:42,10.37,BASKET_TP,1,0,-8.61,10.37,262,4,winner,0,0
143,2018.07.19 11:26:59,EURUSD,SELL,1,1.16073,1.16234,-0.00161,-3.1051,0.00002,0.00052,21.04,1.16069,-2.1808,1,11,4,0.7200,1.0271,50,1e-05,1.43,-0.037037,2,2.1808,4.5052,0.0,0.2,9.8249,2018.07.19 18:19:39,-25.01,BASKET_SL,0,1,-25.01,3.76,82,5,steamroller_bsl,1,1
144,2018.07.19 21:00:00,EURUSD,BUY,1,1.16415,1.16282,0.00133,3.8334,-0.00006,0.00035,29.50,1.16423,2.3598,1,21,4,0.7000,0.9325,50,-8e-05,8.46,-0.326923,1,2.3598,18.81,0.0,0.8,44.3877,2018.07.20 05:53:55,10.02,BASKET_TP,1,0,-2.70,10.02,106,4,winner,0,0
145,2018.07.20 07:24:42,EURUSD,BUY,1,1.16629,1.16516,0.00113,2.3308,-0.00000,0.00048,21.09,1.16634,1.5017,1,7,5,0.7000,0.9325,50,6e-05,-8.41,0.371429,2,1.5017,5.6897,0.0,1.2,8.5442,2018.07.20 13:11:37,10.02,BASKET_TP,1,0,-8.83,10.02,70,5,winner,0,0
146,2018.07.20 17:35:35,EURUSD,BUY,1,1.17073,1.16879,0.00194,5.2837,-0.00003,0.00037,16.12,1.17074,3.7683,1,17,5,0.7200,1.0271,50,-3e-05,-4.97,-0.229167,3,3.7683,2.7421,0.0,0.9,10.333,2018.07.24 11:58:27,10.00,BASKET_TP,1,0,-8.98,10.00,508,5,winner,0,0
147,2018.07.24 13:22:16,EURUSD,BUY,1,1.17046,1.16938,0.00108,2.2492,-0.00001,0.00048,19.97,1.17050,1.0678,8,13,2,0.7200,1.0270,50,2e-05,3.85,0.297297,4,1.0678,13.1399,1.144595,0.8,14.0308,2018.07.25 14:17:39,10.02,BASKET_TP,1,0,-7.23,10.02,299,5,winner,0,0
148,2018.07.25 15:20:00,EURUSD,BUY,1,1.16975,1.16944,0.00030,0.6090,-0.00007,0.00050,27.97,1.16975,-0.6528,8,15,3,0.7400,1.1361,50,-6e-05,8.0,0.041667,5,0.6528,19.6799,0.333333,3.0,12.847,2018.07.25 19:07:16,10.10,BASKET_TP,1,0,-8.38,10.10,45,4,winner,0,0
149,2018.07.26 02:15:35,EURUSD,BUY,1,1.17329,1.17215,0.00115,5.0596,-0.00002,0.00023,25.50,1.17330,3.8025,8,2,4,0.7400,1.1364,50,5e-05,-2.47,-0.54,6,3.8025,4.4506,0.0,3.0,16.9235,2018.07.26 15:21:30,-25.00,BASKET_SL,0,1,-25.00,4.10,157,4,steamroller_bsl,1,1
150,2018.07.26 18:29:35,EURUSD,SELL,1,1.16604,1.16825,-0.00221,-5.5653,0.00001,0.00040,26.34,1.16598,-4.7732,8,18,4,0.7200,1.0273,50,3e-05,0.84,0.73913,1,4.7732,11.0646,0.62087,0.3,52.8136,2018.07.31 12:16:36,-25.00,BASKET_SL,0,1,-25.00,4.28,790,5,steamroller_bsl,1,1
151,2018.07.31 13:51:27,EURUSD,BUY,1,1.17361,1.17253,0.00108,2.4939,-0.00001,0.00043,18.78,1.17361,1.4116,8,13,2,0.7200,1.0281,50,-2e-05,-7.56,0.075,1,1.4116,1.8029,0.0,0.2,2.545,2018.08.01 07:12:18,-25.03,BASKET_SL,0,1,-25.03,1.17,208,5,steamroller_bsl,1,1
152,2018.08.01 07:23:36,EURUSD,SELL,1,1.16784,1.16845,-0.00061,-1.8968,-0.00002,0.00032,14.99,1.16785,-0.8604,8,7,3,0.7000,0.9334,50,-1e-05,-3.79,-0.255814,1,0.8604,0.8151,0.0,0.1,0.7013,2018.08.01 17:04:30,10.02,BASKET_TP,1,0,-5.50,10.02,116,4,winner,0,0
153,2018.08.01 18:53:24,EURUSD,SELL,1,1.16642,1.16740,-0.00098,-2.9357,0.00001,0.00033,18.27,1.16640,-2.0949,8,18,3,0.7000,0.9335,50,3e-05,3.28,0.03125,2,2.0949,8.6962,0.1025,0.6,18.2177,2018.08.02 05:26:38,10.07,BASKET_TP,1,0,-2.65,10.07,127,4,winner,0,0
